guide	gene	Givpir_1	Givpir_2	Givpir_3	Netretopanpir_1	Netretopanpir_2	Netretopanpir_3	NonTreated_1	NonTreated_2	NonTreated_3	Xosam_1	Xosam_2	Xosam_3
JEG28_1	JEG28	774	801	879	835	879	869	603	556	543	2961	2885	2938
JEG28_2	JEG28	810	830	847	929	872	883	602	569	650	2970	2956	2904
USEO46_1	USEO46	1675	1619	1698	2733	2781	2790	527	536	543	532	479	396
USEO46_2	USEO46	1613	1621	1638	2822	2748	2789	562	545	668	492	459	522
NIMVJ3_1	NIMVJ3	2259	2157	2169	985	963	1079	621	556	672	832	898	842
NIMVJ3_2	NIMVJ3	2225	2207	2141	1022	967	1014	553	652	527	830	911	830
CSLEY4_1	CSLEY4	1262	1169	1228	446	470	401	661	582	650	708	668	713
CSLEY4_2	CSLEY4	1161	1247	1237	412	405	420	645	665	601	777	725	669
GBGWX734_1	GBGWX734	907	837	804	1408	1382	1413	561	625	621	1028	1002	967
GBGWX734_2	GBGWX734	818	907	899	1423	1403	1433	623	619	571	1063	1013	959
UPQHB21_1	UPQHB21	992	1019	1019	2008	2007	2050	621	561	529	802	811	792
UPQHB21_2	UPQHB21	982	981	1026	2073	2078	1967	597	634	564	770	855	785
WBK6_1	WBK6	1695	1650	1671	518	617	535	526	538	631	1996	2038	1954
WBK6_2	WBK6	1611	1655	1580	606	568	575	623	541	608	2048	1976	2034
KDHR83_1	KDHR83	2071	1980	2035	2912	3005	2906	552	628	588	815	853	829
KDHR83_2	KDHR83	2032	1946	2036	2957	2919	3020	600	545	611	847	881	905
LILHC375_1	LILHC375	405	327	354	1249	1299	1327	553	526	539	418	472	484
LILHC375_2	LILHC375	437	425	471	1324	1302	1344	622	578	592	537	425	440
PBJD453_1	PBJD453	1934	2020	1958	1862	1823	1757	627	548	675	2435	2431	2348
PBJD453_2	PBJD453	1963	2041	2010	1786	1745	1860	663	555	608	2346	2347	2416
TTK789_1	TTK789	619	716	621	1623	1603	1584	541	626	623	834	889	843
TTK789_2	TTK789	595	642	608	1541	1581	1550	641	558	590	921	866	817
KWSJX672_1	KWSJX672	1366	1379	1434	2126	2132	2203	567	566	531	824	851	846
KWSJX672_2	KWSJX672	1445	1468	1336	2163	2163	2163	549	572	628	804	859	869
UESDF5_1	UESDF5	4000	4034	4103	1150	1171	1270	650	607	644	907	821	845
UESDF5_2	UESDF5	4126	4105	4115	1263	1232	1267	577	673	654	817	903	842
RPKZX3_1	RPKZX3	3497	3556	3480	1167	1042	1089	570	569	588	1066	1033	981
RPKZX3_2	RPKZX3	3448	3550	3472	1044	1058	1090	558	604	593	976	967	1093
GUN320_1	GUN320	596	603	615	1241	1222	1250	530	561	593	2940	2891	2964
GUN320_2	GUN320	614	620	602	1244	1246	1300	557	543	645	2939	2964	3009
CUOIA95_1	CUOIA95	2239	2346	2379	792	770	813	545	671	602	999	931	987
CUOIA95_2	CUOIA95	2262	2255	2315	774	835	868	643	527	645	971	952	914
UTZKV596_1	UTZKV596	1726	1658	1695	775	861	789	528	538	604	1751	1784	1799
UTZKV596_2	UTZKV596	1705	1692	1675	776	915	819	570	662	594	1698	1690	1796
WCL246_1	WCL246	7978	7931	7997	1693	1632	1626	610	548	619	2044	2037	2039
WCL246_2	WCL246	7873	7860	7893	1690	1654	1608	567	594	625	2085	2010	1966
HAR8_1	HAR8	555	600	505	1214	1148	1150	639	534	560	1518	1439	1412
HAR8_2	HAR8	514	590	471	1173	1193	1217	658	577	551	1411	1497	1453
BIS971_1	BIS971	1104	1128	1020	8349	8424	8351	590	665	596	1035	1146	1142
BIS971_2	BIS971	1110	1056	1042	8354	8346	8338	629	582	592	1061	1062	1098
TTPUM4_1	TTPUM4	1374	1400	1370	913	952	816	614	558	593	1276	1261	1248
TTPUM4_2	TTPUM4	1380	1373	1352	937	938	937	671	596	530	1333	1313	1346
FKQH7_1	FKQH7	1139	1117	1177	2141	2103	2098	593	664	663	1214	1178	1137
FKQH7_2	FKQH7	1213	1241	1235	2135	2089	2038	635	571	612	1212	1201	1135
JMH2_1	JMH2	2746	2756	2799	3054	2982	3107	578	643	659	2171	2240	2163
JMH2_2	JMH2	2810	2838	2746	2972	3113	3065	643	610	579	2257	2196	2213
QVHNP15_1	QVHNP15	1027	1032	1124	374	368	371	612	543	598	824	865	847
QVHNP15_2	QVHNP15	1132	1145	1107	304	337	383	592	542	579	830	906	890
KBPXY3_1	KBPXY3	1804	1773	1826	2882	2979	2960	569	599	581	831	858	812
KBPXY3_2	KBPXY3	1826	1764	1860	2887	2846	2898	622	552	528	868	924	898
JIVLK9_1	JIVLK9	2878	2817	2810	1156	1194	1112	551	644	544	851	830	876
JIVLK9_2	JIVLK9	2887	2779	2897	1240	1173	1120	532	574	609	813	899	871
SNDK796_1	SNDK796	900	1011	988	3989	3889	3884	590	584	651	2243	2293	2182
SNDK796_2	SNDK796	960	913	974	3966	3992	3916	648	644	613	2222	2211	2220
ETD15_1	ETD15	2389	2440	2486	5377	5354	5340	568	579	622	3148	3124	3152
ETD15_2	ETD15	2456	2412	2440	5356	5394	5340	630	647	663	3156	3129	3123
ALE547_1	ALE547	5466	5499	5585	786	712	740	526	609	554	2041	2022	2118
ALE547_2	ALE547	5604	5539	5585	691	701	670	567	566	627	2110	2049	2080
QJBWC847_1	QJBWC847	1503	1444	1533	632	607	686	648	629	567	608	610	667
QJBWC847_2	QJBWC847	1431	1498	1555	608	684	664	622	608	539	661	671	647
ONE3_1	ONE3	799	769	829	385	401	367	629	587	566	880	928	969
ONE3_2	ONE3	762	790	737	431	407	477	530	591	663	998	885	888
AZSU5_1	AZSU5	430	501	484	726	695	672	529	618	571	607	548	486
AZSU5_2	AZSU5	438	382	427	659	701	705	639	548	561	528	620	481
VYORS8_1	VYORS8	1193	1142	1181	659	675	548	640	597	621	432	470	443
VYORS8_2	VYORS8	1113	1191	1144	598	565	575	595	565	650	533	539	472
OKTH47_1	OKTH47	1516	1520	1418	2707	2601	2562	607	555	584	1445	1330	1425
OKTH47_2	OKTH47	1514	1554	1427	2616	2677	2569	647	579	528	1415	1375	1438
FCM87_1	FCM87	972	990	973	1170	1086	1110	573	645	638	2352	2328	2395
FCM87_2	FCM87	936	880	863	1164	1042	1069	563	568	547	2371	2360	2385
JYV329_1	JYV329	1195	1290	1211	1334	1329	1221	569	645	634	4379	4387	4370
JYV329_2	JYV329	1198	1228	1175	1328	1301	1254	583	616	659	4360	4374	4346
GAFC49_1	GAFC49	1057	1199	1105	440	529	442	642	660	605	934	839	881
GAFC49_2	GAFC49	1113	1070	1111	429	493	508	562	535	533	851	937	966
PDHK07_1	PDHK07	1805	1913	1819	1527	1506	1530	624	661	646	2239	2304	2202
PDHK07_2	PDHK07	1834	1896	1887	1543	1420	1546	666	543	592	2299	2249	2192
FBQU893_1	FBQU893	629	528	529	706	717	717	667	659	625	1107	1194	1173
FBQU893_2	FBQU893	663	612	583	687	589	714	583	610	655	1086	1162	1151
BRABI2_1	BRABI2	606	567	593	710	728	665	588	597	558	2989	3040	3027
BRABI2_2	BRABI2	560	573	555	718	607	720	577	571	623	2956	3071	3057
IBE5_1	IBE5	2480	2514	2505	2807	2789	2799	567	657	560	645	650	684
IBE5_2	IBE5	2478	2547	2507	2799	2863	2790	596	598	534	649	676	645
DBDN3_1	DBDN3	897	893	830	522	559	608	601	641	591	1553	1469	1522
DBDN3_2	DBDN3	906	800	913	591	629	504	597	571	563	1454	1479	1478
DGPAU901_1	DGPAU901	466	333	447	1144	1195	1100	662	657	672	2577	2580	2510
DGPAU901_2	DGPAU901	449	461	347	1167	1119	1137	539	536	540	2502	2597	2468
CZMX812_1	CZMX812	1141	1157	1198	788	796	675	648	657	571	2093	2138	2061
CZMX812_2	CZMX812	1069	1084	1102	753	739	752	548	590	533	2118	2030	2127
DLFS57_1	DLFS57	2887	2887	2798	2954	2906	2972	586	592	592	1272	1214	1258
DLFS57_2	DLFS57	2842	2866	2761	2991	2928	2982	666	542	589	1242	1222	1324
HANZJ931_1	HANZJ931	2610	2509	2530	1571	1624	1662	649	529	635	1604	1562	1645
HANZJ931_2	HANZJ931	2546	2571	2542	1536	1671	1585	649	656	586	1577	1633	1562
RVF6_1	RVF6	480	462	448	767	712	766	672	654	588	2055	2145	2163
RVF6_2	RVF6	496	562	436	802	697	733	576	592	592	2191	2177	2074
WBF4_1	WBF4	2655	2701	2709	1854	1880	1888	668	608	636	755	746	652
WBF4_2	WBF4	2706	2688	2691	1831	1937	1844	567	660	632	654	782	785
VLPJ573_1	VLPJ573	1069	1184	1159	905	900	875	583	526	648	1060	1066	1043
VLPJ573_2	VLPJ573	1061	1073	1151	1006	874	915	536	581	661	1003	966	1061
QUMOI7_1	QUMOI7	3447	3465	3487	1488	1473	1480	560	638	671	1575	1608	1542
QUMOI7_2	QUMOI7	3475	3518	3450	1438	1479	1363	620	530	624	1677	1573	1602
CDF745_1	CDF745	2872	2921	2856	1824	1857	1810	539	595	659	432	445	473
CDF745_2	CDF745	2975	2857	2857	1897	1802	1884	592	566	530	464	449	410
EKLE780_1	EKLE780	1221	1278	1290	5637	5602	5652	637	652	540	197	192	306
EKLE780_2	EKLE780	1285	1297	1262	5644	5645	5516	620	585	652	192	200	242
OVN620_1	OVN620	367	448	393	807	733	749	591	599	561	1890	1907	1780
OVN620_2	OVN620	372	400	437	755	670	680	601	601	584	1874	1891	1892
YLQ2_1	YLQ2	112	184	110	169	148	195	81	225	75	103	88	154
YLQ2_2	YLQ2	167	210	181	159	204	149	103	218	144	96	157	138
OTU28_1	OTU28	535	499	585	683	751	739	579	568	594	2692	2771	2783
OTU28_2	OTU28	517	478	567	766	764	761	558	527	637	2746	2752	2807
PHZVI46_1	PHZVI46	1184	1109	1173	739	785	712	554	584	561	700	705	755
PHZVI46_2	PHZVI46	1140	1223	1146	723	812	718	597	552	534	698	751	723
XFV586_1	XFV586	1138	1088	1060	3652	3641	3605	531	624	577	2525	2516	2538
XFV586_2	XFV586	1040	1119	1096	3624	3634	3598	598	568	645	2605	2644	2622
YTINW5_1	YTINW5	599	594	506	1166	1167	1224	612	625	546	1657	1726	1656
YTINW5_2	YTINW5	502	602	469	1231	1232	1182	601	610	611	1734	1712	1680
STO42_1	STO42	2207	2292	2298	681	727	750	564	598	554	664	718	740
STO42_2	STO42	2276	2190	2267	737	676	696	653	622	558	626	664	655
