GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
CVP80	-6.06	2	-2.73	0.00317	1	0.897	0.997	2001	0.997
ARQ239	-6.04	2	-2.72	0.00327	2	0.897	0.997	2000	0.997
PRF9	-5.61	2	-2.50	0.00625	3	0.897	0.994	1999	0.995
LWLS419	-5.17	2	-2.27	0.0115	4	0.897	0.988	1998	0.99
HHNC37	-5.17	2	-2.27	0.0116	5	0.897	0.988	1997	0.99
ZLH49	-5.15	2	-2.26	0.0118	6	0.897	0.988	1996	0.99
BXHG52	-5.09	2	-2.23	0.0128	7	0.897	0.987	1995	0.99
RADZ248	-5.06	2	-2.22	0.0133	8	0.897	0.987	1994	0.99
MKM24	-5.04	2	-2.20	0.0137	9	0.897	0.986	1993	0.99
XAJIS380	-5.00	2	-2.19	0.0144	10	0.897	0.986	1992	0.99
UTNAS643	-4.99	2	-2.18	0.0147	11	0.897	0.985	1991	0.99
WEKY8	-4.96	2	-2.17	0.0151	12	0.897	0.985	1990	0.99
JQISE4	-4.94	2	-2.15	0.0157	13	0.897	0.984	1989	0.99
CFVK2	-4.91	2	-2.14	0.0163	14	0.897	0.984	1988	0.99
SSOE512	-4.86	2	-2.11	0.0172	15	0.897	0.983	1987	0.99
PUXQE91	-4.79	2	-2.08	0.0188	16	0.897	0.981	1986	0.989
UAT19	-4.79	2	-2.08	0.0188	17	0.897	0.981	1985	0.989
RVZA931	-4.78	2	-2.07	0.0191	18	0.897	0.981	1984	0.989
QHM08	-4.78	2	-2.07	0.0191	19	0.897	0.981	1983	0.989
IGCOU5	-4.76	2	-2.06	0.0196	20	0.897	0.98	1982	0.989
IHGDM98	-4.73	2	-2.05	0.0203	21	0.897	0.98	1981	0.989
TTS904	-4.72	2	-2.04	0.0207	22	0.897	0.979	1980	0.989
RHAY861	-4.70	2	-2.03	0.0212	23	0.897	0.979	1979	0.989
YJB430	-4.69	2	-2.03	0.0214	24	0.897	0.979	1978	0.989
QJT8	-4.67	2	-2.01	0.022	25	0.897	0.978	1977	0.989
MOKBA9	-4.65	2	-2.00	0.0225	26	0.897	0.977	1976	0.989
LZPG2	-4.62	2	-1.99	0.0234	27	0.897	0.977	1975	0.989
XNHKQ136	-4.60	2	-1.98	0.0237	28	0.897	0.976	1974	0.989
LDSAX35	-4.51	2	-1.93	0.0266	29	0.897	0.973	1973	0.987
KITMX95	-4.51	2	-1.93	0.0267	30	0.897	0.973	1972	0.987
ETIU95	-4.49	2	-1.93	0.0271	31	0.897	0.973	1971	0.987
HZY4	-4.47	2	-1.91	0.028	32	0.897	0.972	1970	0.987
IYP7	-4.45	2	-1.90	0.0285	33	0.897	0.972	1969	0.987
DGLD761	-4.43	2	-1.89	0.0292	34	0.897	0.971	1968	0.987
FKLY31	-4.43	2	-1.89	0.0293	35	0.897	0.971	1967	0.987
CLFX98	-4.40	2	-1.88	0.0302	36	0.897	0.97	1966	0.987
TJBM78	-4.40	2	-1.88	0.0303	37	0.897	0.97	1965	0.987
GEOD7	-4.40	2	-1.88	0.0303	38	0.897	0.97	1964	0.987
LMUL1	-4.40	2	-1.88	0.0304	39	0.897	0.97	1963	0.987
ZVA89	-4.39	2	-1.87	0.0305	40	0.897	0.97	1962	0.987
PPIH51	-4.35	2	-1.85	0.0322	41	0.897	0.968	1961	0.987
PHOS82	-4.34	2	-1.85	0.0324	42	0.897	0.968	1960	0.987
DCE5	-4.32	2	-1.84	0.0331	43	0.897	0.967	1959	0.987
QVCP827	-4.30	2	-1.83	0.0338	44	0.897	0.966	1958	0.987
FCM23	-4.29	2	-1.82	0.0343	45	0.897	0.966	1957	0.987
GDSA8	-4.26	2	-1.81	0.0354	46	0.897	0.965	1956	0.987
NOWAM6	-4.26	2	-1.81	0.0355	47	0.897	0.965	1955	0.987
IIKH367	-4.22	2	-1.79	0.037	48	0.897	0.963	1954	0.986
WTLN1	-4.20	2	-1.77	0.038	49	0.897	0.962	1953	0.986
VANF5	-4.19	2	-1.77	0.0386	50	0.897	0.961	1952	0.986
FYKPJ82	-4.17	2	-1.76	0.0393	51	0.897	0.961	1951	0.985
HNCYQ4	-4.16	2	-1.76	0.0396	52	0.897	0.96	1950	0.985
EQVP147	-4.15	2	-1.75	0.0401	53	0.897	0.96	1949	0.985
JVEN304	-4.15	2	-1.75	0.0402	54	0.897	0.96	1948	0.985
FTRUN9	-4.14	2	-1.74	0.0408	55	0.897	0.959	1947	0.985
RYOGD17	-4.13	2	-1.74	0.0411	56	0.897	0.959	1946	0.985
QND8	-4.12	2	-1.73	0.0414	57	0.897	0.959	1945	0.985
ATU135	-4.12	2	-1.73	0.0415	58	0.897	0.959	1944	0.985
BBTK4	-4.12	2	-1.73	0.0417	59	0.897	0.958	1943	0.985
QOW5	-4.11	2	-1.73	0.0418	60	0.897	0.958	1942	0.985
FLJ6	-4.11	2	-1.73	0.0418	61	0.897	0.958	1941	0.985
RARKT5	-4.09	2	-1.72	0.0428	62	0.897	0.957	1940	0.985
RLMJ316	-4.09	2	-1.72	0.0429	63	0.897	0.957	1939	0.985
CAFIO402	-4.07	2	-1.71	0.0437	64	0.897	0.956	1938	0.985
PRNSI789	-4.05	2	-1.70	0.0446	65	0.897	0.955	1937	0.985
HIHCT75	-4.05	2	-1.70	0.0448	66	0.897	0.955	1936	0.985
QBZ527	-4.04	2	-1.69	0.0452	67	0.897	0.955	1935	0.985
OHZE4	-4.03	2	-1.69	0.0458	68	0.897	0.954	1934	0.985
CHF4	-4.02	2	-1.68	0.0465	69	0.897	0.953	1933	0.985
QOSL36	-3.98	2	-1.66	0.0481	70	0.897	0.952	1932	0.985
MQZ40	-3.96	2	-1.65	0.0492	71	0.897	0.951	1931	0.985
DUG1	-3.95	2	-1.65	0.0498	72	0.897	0.95	1930	0.985
MNALY84	-3.90	2	-1.62	0.0528	73	0.897	0.947	1929	0.983
URY7	-3.89	2	-1.61	0.0532	74	0.897	0.947	1928	0.983
HEK489	-3.87	2	-1.60	0.0543	75	0.897	0.946	1927	0.982
WUAN861	-3.87	2	-1.60	0.0545	76	0.897	0.945	1926	0.982
ASHM95	-3.86	2	-1.60	0.0551	77	0.897	0.945	1925	0.982
QBIG82	-3.84	2	-1.59	0.0563	78	0.897	0.944	1924	0.981
DYC617	-3.83	2	-1.59	0.0564	79	0.897	0.944	1923	0.981
OGBQ143	-3.83	2	-1.59	0.0564	80	0.897	0.944	1922	0.981
ABC689	-3.83	2	-1.58	0.0566	81	0.897	0.943	1921	0.981
HSAF0	-3.83	2	-1.58	0.0566	82	0.897	0.943	1920	0.981
FVIF9	-3.83	2	-1.58	0.0567	83	0.897	0.943	1919	0.981
LNP3	-3.81	2	-1.58	0.0576	84	0.897	0.942	1918	0.981
EAU9	-3.81	2	-1.57	0.0577	85	0.897	0.942	1917	0.981
YFZ164	-3.80	2	-1.57	0.0583	86	0.897	0.942	1916	0.981
UHD953	-3.79	2	-1.56	0.0592	87	0.897	0.941	1915	0.981
JCVLN56	-3.78	2	-1.56	0.0594	88	0.897	0.941	1914	0.981
DWGS3	-3.78	2	-1.56	0.0596	89	0.897	0.94	1913	0.981
XTL95	-3.78	2	-1.56	0.0598	90	0.897	0.94	1912	0.981
CMIF94	-3.76	2	-1.55	0.0606	91	0.897	0.939	1911	0.981
BLAYE159	-3.76	2	-1.55	0.0606	92	0.897	0.939	1910	0.981
WOSX96	-3.75	2	-1.54	0.0615	93	0.897	0.939	1909	0.981
MUOS2	-3.74	2	-1.54	0.0622	94	0.897	0.938	1908	0.981
LXZIV76	-3.73	2	-1.53	0.0626	95	0.897	0.937	1907	0.981
ZMAU8	-3.72	2	-1.53	0.0634	96	0.897	0.937	1906	0.981
OOJP34	-3.72	2	-1.52	0.0636	97	0.897	0.936	1905	0.981
TZPHX678	-3.71	2	-1.52	0.0637	98	0.897	0.936	1904	0.981
HXJGA09	-3.71	2	-1.52	0.0638	99	0.897	0.936	1903	0.981
PBCY24	-3.71	2	-1.52	0.0639	100	0.897	0.936	1902	0.981
JCNQ068	-3.71	2	-1.52	0.0641	101	0.897	0.936	1901	0.981
SUPDR5	-3.70	2	-1.52	0.0646	102	0.897	0.935	1900	0.981
VRWP319	-3.68	2	-1.51	0.0658	103	0.897	0.934	1899	0.981
DGPAU901	-3.68	2	-1.51	0.066	104	0.897	0.934	1898	0.981
KNWC610	-3.68	2	-1.50	0.0662	105	0.897	0.934	1897	0.981
OVN620	-3.67	2	-1.50	0.0666	106	0.897	0.933	1896	0.981
KPD27	-3.66	2	-1.50	0.067	107	0.897	0.933	1895	0.981
SFPUT7	-3.65	2	-1.49	0.0676	108	0.897	0.932	1894	0.981
OMUS709	-3.64	2	-1.48	0.0688	109	0.897	0.931	1893	0.981
CVZTB91	-3.62	2	-1.48	0.07	110	0.897	0.93	1892	0.981
WCAZ8	-3.60	2	-1.47	0.0711	111	0.897	0.929	1891	0.981
IVLWO9	-3.60	2	-1.47	0.0713	112	0.897	0.929	1890	0.981
VVOQM9	-3.60	2	-1.46	0.0717	113	0.897	0.928	1889	0.981
WZU35	-3.59	2	-1.46	0.0718	114	0.897	0.928	1888	0.981
OZLYP96	-3.59	2	-1.46	0.0718	115	0.897	0.928	1887	0.981
KRY231	-3.59	2	-1.46	0.0719	116	0.897	0.928	1886	0.981
NRFBV8	-3.59	2	-1.46	0.0723	117	0.897	0.928	1885	0.981
AVLF14	-3.59	2	-1.46	0.0724	118	0.897	0.928	1884	0.981
WQA57	-3.58	2	-1.46	0.0725	119	0.897	0.928	1883	0.981
LILHC375	-3.58	2	-1.45	0.0731	120	0.897	0.927	1882	0.981
NGF72	-3.57	2	-1.45	0.0735	121	0.897	0.926	1881	0.981
MNU9	-3.56	2	-1.45	0.0741	122	0.897	0.926	1880	0.981
EXNB45	-3.56	2	-1.44	0.0742	123	0.897	0.926	1879	0.981
SDRXW9	-3.53	2	-1.43	0.0761	124	0.897	0.924	1878	0.981
KCPT74	-3.53	2	-1.43	0.0765	125	0.897	0.924	1877	0.981
FMWYZ64	-3.52	2	-1.42	0.0771	126	0.897	0.923	1876	0.981
SHWFJ7	-3.52	2	-1.42	0.0771	127	0.897	0.923	1875	0.981
KHZ7	-3.51	2	-1.42	0.0777	128	0.897	0.922	1874	0.981
SVPO1	-3.51	2	-1.42	0.0777	129	0.897	0.922	1873	0.981
HHQBF2	-3.50	2	-1.42	0.0784	130	0.897	0.922	1872	0.981
AWM5	-3.49	2	-1.41	0.0791	131	0.897	0.921	1871	0.981
TRZ5	-3.49	2	-1.41	0.0793	132	0.897	0.921	1870	0.981
QQY673	-3.49	2	-1.41	0.0795	133	0.897	0.921	1869	0.981
RMQFH49	-3.49	2	-1.41	0.0796	134	0.897	0.92	1868	0.981
IDPKG09	-3.48	2	-1.40	0.0801	135	0.897	0.92	1867	0.981
TDRA807	-3.47	2	-1.40	0.0806	136	0.897	0.919	1866	0.981
MKUJZ74	-3.47	2	-1.40	0.0808	137	0.897	0.919	1865	0.981
NMJ084	-3.47	2	-1.40	0.0809	138	0.897	0.919	1864	0.981
WIO4	-3.47	2	-1.40	0.0811	139	0.897	0.919	1863	0.981
KKWF247	-3.47	2	-1.40	0.0811	140	0.897	0.919	1862	0.981
PYR718	-3.47	2	-1.40	0.0813	141	0.897	0.919	1861	0.981
TPV3	-3.46	2	-1.39	0.0817	142	0.897	0.918	1860	0.981
KDT0	-3.46	2	-1.39	0.082	143	0.897	0.918	1859	0.981
DSH8	-3.44	2	-1.38	0.0833	144	0.897	0.917	1858	0.981
DUCKA8	-3.43	2	-1.38	0.0842	145	0.897	0.916	1857	0.981
QTF907	-3.42	2	-1.38	0.0845	146	0.897	0.916	1856	0.981
TFL78	-3.42	2	-1.37	0.0852	147	0.897	0.915	1855	0.981
WTAV05	-3.41	2	-1.37	0.0858	148	0.897	0.914	1854	0.981
GEHO70	-3.41	2	-1.37	0.086	149	0.897	0.914	1853	0.981
JUX741	-3.40	2	-1.37	0.0861	150	0.897	0.914	1852	0.981
APF6	-3.40	2	-1.36	0.0865	151	0.897	0.914	1851	0.981
JHYX89	-3.38	2	-1.35	0.0881	152	0.897	0.912	1850	0.981
AKXGR6	-3.37	2	-1.35	0.0887	153	0.897	0.911	1849	0.981
OKDFI35	-3.37	2	-1.35	0.0888	154	0.897	0.911	1848	0.981
GZBFD915	-3.37	2	-1.35	0.089	155	0.897	0.911	1847	0.981
MUFN8	-3.37	2	-1.35	0.0891	156	0.897	0.911	1846	0.981
KKS279	-3.36	2	-1.34	0.0898	157	0.897	0.91	1845	0.981
UYLQB45	-3.36	2	-1.34	0.0898	158	0.897	0.91	1844	0.981
MOXQ6	-3.35	2	-1.34	0.0906	159	0.897	0.909	1843	0.981
AZSU5	-3.35	2	-1.33	0.091	160	0.897	0.909	1842	0.981
RVF6	-3.34	2	-1.33	0.0916	161	0.897	0.908	1841	0.981
ELV8	-3.33	2	-1.33	0.0923	162	0.897	0.908	1840	0.981
IEAG6	-3.33	2	-1.33	0.0924	163	0.897	0.908	1839	0.981
FSBFC4	-3.33	2	-1.33	0.0926	164	0.897	0.907	1838	0.981
TJODX987	-3.32	2	-1.32	0.0929	165	0.897	0.907	1837	0.981
MBA27	-3.32	2	-1.32	0.0931	166	0.897	0.907	1836	0.981
QJG069	-3.32	2	-1.32	0.0934	167	0.897	0.907	1835	0.981
TPOX019	-3.32	2	-1.32	0.0934	168	0.897	0.907	1834	0.981
HVKTE192	-3.32	2	-1.32	0.0935	169	0.897	0.907	1833	0.981
VQXM89	-3.31	2	-1.32	0.0939	170	0.897	0.906	1832	0.981
OLV9	-3.30	2	-1.31	0.0945	171	0.897	0.905	1831	0.981
XXTG6	-3.30	2	-1.31	0.0947	172	0.897	0.905	1830	0.981
QBV61	-3.30	2	-1.31	0.0951	173	0.897	0.905	1829	0.981
EESDL1	-3.30	2	-1.31	0.0953	174	0.897	0.905	1828	0.981
JEOXY4	-3.29	2	-1.31	0.0959	175	0.897	0.904	1827	0.981
