GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
OOJP34	-6.32	2	-2.81	0.00251	1	0.925	0.997	2001	0.997
NXH0	-6.26	2	-2.77	0.00277	2	0.925	0.997	2000	0.997
IWB2	-6.09	2	-2.69	0.00356	3	0.925	0.996	1999	0.997
RUBRX5	-6.08	2	-2.69	0.00361	4	0.925	0.996	1998	0.997
LCKS125	-6.05	2	-2.67	0.00383	5	0.925	0.996	1997	0.997
ZTI42	-5.86	2	-2.58	0.00501	6	0.925	0.995	1996	0.997
BYRV762	-5.79	2	-2.54	0.00557	7	0.925	0.994	1995	0.997
EKLE780	-5.74	2	-2.51	0.00597	8	0.925	0.994	1994	0.997
DYC617	-5.74	2	-2.51	0.00597	9	0.925	0.994	1993	0.997
FKNC3	-5.55	2	-2.42	0.00784	10	0.925	0.992	1992	0.997
HOTB13	-5.51	2	-2.40	0.00822	11	0.925	0.992	1991	0.997
VKG1	-5.37	2	-2.33	0.00994	12	0.925	0.99	1990	0.996
VWI170	-5.37	2	-2.33	0.01	13	0.925	0.99	1989	0.996
UEBR351	-5.33	2	-2.31	0.0106	14	0.925	0.989	1988	0.996
QPB24	-5.28	2	-2.28	0.0113	15	0.925	0.989	1987	0.996
SROUB36	-5.26	2	-2.27	0.0116	16	0.925	0.988	1986	0.996
NQJG79	-5.22	2	-2.25	0.0122	17	0.925	0.988	1985	0.996
FTW50	-5.18	2	-2.23	0.0128	18	0.925	0.987	1984	0.996
PNGXA58	-5.16	2	-2.22	0.0131	19	0.925	0.987	1983	0.996
SVD34	-5.10	2	-2.19	0.0142	20	0.925	0.986	1982	0.995
ZVMQZ072	-5.09	2	-2.19	0.0144	21	0.925	0.986	1981	0.995
FOLH3	-4.92	2	-2.10	0.0179	22	0.925	0.982	1980	0.993
ZVSZT2	-4.89	2	-2.08	0.0187	23	0.925	0.981	1979	0.992
SVPO1	-4.87	2	-2.07	0.0191	24	0.925	0.981	1978	0.992
HXQC3	-4.79	2	-2.04	0.0209	25	0.925	0.979	1977	0.991
NYAG3	-4.77	2	-2.03	0.0214	26	0.925	0.979	1976	0.991
YJKU2	-4.74	2	-2.01	0.0223	27	0.925	0.978	1975	0.991
HHDN6	-4.66	2	-1.97	0.0246	28	0.925	0.975	1974	0.989
UYVU570	-4.64	2	-1.96	0.0251	29	0.925	0.975	1973	0.989
LWGA2	-4.62	2	-1.95	0.0258	30	0.925	0.974	1972	0.989
TOIG64	-4.62	2	-1.95	0.0258	31	0.925	0.974	1971	0.989
HXAO304	-4.62	2	-1.95	0.0258	32	0.925	0.974	1970	0.989
NDLWZ9	-4.58	2	-1.93	0.0269	33	0.925	0.973	1969	0.989
KCVH12	-4.55	2	-1.91	0.0281	34	0.925	0.972	1968	0.988
QUM4	-4.54	2	-1.91	0.0282	35	0.925	0.972	1967	0.988
HEK489	-4.53	2	-1.90	0.0286	36	0.925	0.971	1966	0.988
DXC147	-4.52	2	-1.90	0.029	37	0.925	0.971	1965	0.988
STG962	-4.50	2	-1.89	0.0296	38	0.925	0.97	1964	0.988
ZIB42	-4.50	2	-1.88	0.0297	39	0.925	0.97	1963	0.988
KZSC685	-4.49	2	-1.88	0.0298	40	0.925	0.97	1962	0.988
TEI14	-4.49	2	-1.88	0.0299	41	0.925	0.97	1961	0.988
NQJGE0	-4.47	2	-1.87	0.0305	42	0.925	0.969	1960	0.988
JES146	-4.46	2	-1.86	0.0311	43	0.925	0.969	1959	0.988
XKEDC65	-4.44	2	-1.86	0.0316	44	0.925	0.968	1958	0.988
URU37	-4.43	2	-1.85	0.032	45	0.925	0.968	1957	0.988
WSFZ87	-4.42	2	-1.85	0.0323	46	0.925	0.968	1956	0.988
ECRF438	-4.42	2	-1.85	0.0325	47	0.925	0.968	1955	0.988
ZAJU8	-4.40	2	-1.84	0.0331	48	0.925	0.967	1954	0.988
RRPZJ06	-4.39	2	-1.83	0.0335	49	0.925	0.967	1953	0.988
PVT036	-4.38	2	-1.83	0.0337	50	0.925	0.966	1952	0.988
PJSO475	-4.37	2	-1.82	0.0343	51	0.925	0.966	1951	0.988
LHXQ5	-4.33	2	-1.80	0.0356	52	0.925	0.964	1950	0.988
NTS0	-4.31	2	-1.79	0.0365	53	0.925	0.964	1949	0.988
VMG943	-4.31	2	-1.79	0.0368	54	0.925	0.963	1948	0.988
AVNR463	-4.27	2	-1.77	0.0382	55	0.925	0.962	1947	0.988
WLPOW1	-4.26	2	-1.77	0.0387	56	0.925	0.961	1946	0.988
CDWA234	-4.21	2	-1.74	0.0407	57	0.925	0.959	1945	0.987
EXH46	-4.21	2	-1.74	0.0407	58	0.925	0.959	1944	0.987
XKN8	-4.19	2	-1.73	0.0417	59	0.925	0.958	1943	0.987
HMS420	-4.19	2	-1.73	0.0418	60	0.925	0.958	1942	0.987
PGYJ526	-4.18	2	-1.73	0.0421	61	0.925	0.958	1941	0.987
QGCUJ3	-4.18	2	-1.73	0.0421	62	0.925	0.958	1940	0.987
