GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
QNKWY38	-6.19	2	-2.81	0.00248	1	0.916	0.998	2001	0.998
JPLH1	-6.02	2	-2.72	0.00324	2	0.916	0.997	2000	0.997
UWIV54	-5.88	2	-2.65	0.00402	3	0.916	0.996	1999	0.997
VUW68	-5.68	2	-2.55	0.00546	4	0.916	0.995	1998	0.996
KHUBY36	-5.61	2	-2.51	0.00604	5	0.916	0.994	1997	0.996
CDJHE675	-5.46	2	-2.44	0.00741	6	0.916	0.993	1996	0.995
RDTNV53	-5.45	2	-2.43	0.0076	7	0.916	0.992	1995	0.995
UJX3	-5.38	2	-2.39	0.00838	8	0.916	0.992	1994	0.995
GPRZU42	-5.20	2	-2.30	0.0107	9	0.916	0.989	1993	0.993
DILX32	-5.18	2	-2.29	0.0111	10	0.916	0.989	1992	0.993
NRS5	-5.16	2	-2.28	0.0113	11	0.916	0.989	1991	0.993
JNXL753	-5.15	2	-2.28	0.0114	12	0.916	0.989	1990	0.993
HIHCT75	-5.11	2	-2.26	0.012	13	0.916	0.988	1989	0.993
PLMX321	-5.03	2	-2.21	0.0135	14	0.916	0.986	1988	0.993
UJAN831	-5.02	2	-2.21	0.0136	15	0.916	0.986	1987	0.993
PAU973	-4.98	2	-2.19	0.0143	16	0.916	0.986	1986	0.993
CSQRI314	-4.92	2	-2.16	0.0155	17	0.916	0.984	1985	0.992
EUJA31	-4.88	2	-2.14	0.0162	18	0.916	0.984	1984	0.992
ONJ5	-4.86	2	-2.13	0.0167	19	0.916	0.983	1983	0.992
ETY58	-4.85	2	-2.12	0.0169	20	0.916	0.983	1982	0.992
UYVU570	-4.84	2	-2.11	0.0172	21	0.916	0.983	1981	0.992
ZTVXZ0	-4.82	2	-2.11	0.0176	22	0.916	0.982	1980	0.992
QQY673	-4.80	2	-2.09	0.0181	23	0.916	0.982	1979	0.992
IEWO670	-4.79	2	-2.09	0.0184	24	0.916	0.982	1978	0.992
EYRXA93	-4.75	2	-2.07	0.0193	25	0.916	0.981	1977	0.992
SAHOX839	-4.70	2	-2.04	0.0206	26	0.916	0.979	1976	0.992
OZGPL1	-4.64	2	-2.01	0.022	27	0.916	0.978	1975	0.991
MAYX6	-4.63	2	-2.01	0.0223	28	0.916	0.978	1974	0.991
OJK715	-4.63	2	-2.01	0.0223	29	0.916	0.978	1973	0.991
ZTGA726	-4.62	2	-2.00	0.0226	30	0.916	0.977	1972	0.991
PNGXA58	-4.62	2	-2.00	0.0226	31	0.916	0.977	1971	0.991
VHV23	-4.60	2	-1.99	0.0233	32	0.916	0.977	1970	0.991
LMO87	-4.59	2	-1.99	0.0233	33	0.916	0.977	1969	0.991
JFGY658	-4.57	2	-1.98	0.0241	34	0.916	0.976	1968	0.991
VXO59	-4.52	2	-1.95	0.0256	35	0.916	0.974	1967	0.991
FUX92	-4.51	2	-1.94	0.0259	36	0.916	0.974	1966	0.991
UIJQC3	-4.49	2	-1.93	0.0265	37	0.916	0.973	1965	0.991
CAJ3	-4.49	2	-1.93	0.0265	38	0.916	0.973	1964	0.991
APY1	-4.48	2	-1.93	0.0268	39	0.916	0.973	1963	0.991
ORXGO7	-4.47	2	-1.92	0.0272	40	0.916	0.973	1962	0.991
DILX93	-4.47	2	-1.92	0.0272	41	0.916	0.973	1961	0.991
PRNSI789	-4.44	2	-1.91	0.0279	42	0.916	0.972	1960	0.991
BWFI71	-4.43	2	-1.90	0.0284	43	0.916	0.972	1959	0.991
EQXU90	-4.39	2	-1.88	0.0298	44	0.916	0.97	1958	0.991
KPO021	-4.37	2	-1.87	0.0306	45	0.916	0.969	1957	0.991
VUIXD96	-4.36	2	-1.87	0.031	46	0.916	0.969	1956	0.991
YGLRQ239	-4.34	2	-1.86	0.0316	47	0.916	0.968	1955	0.991
DZTA92	-4.32	2	-1.85	0.0321	48	0.916	0.968	1954	0.991
WTX1	-4.32	2	-1.85	0.0323	49	0.916	0.968	1953	0.991
XIBQ9	-4.32	2	-1.85	0.0324	50	0.916	0.968	1952	0.991
AYUID7	-4.28	2	-1.83	0.0338	51	0.916	0.966	1951	0.991
AQU05	-4.27	2	-1.82	0.0342	52	0.916	0.966	1950	0.991
TDQCE02	-4.26	2	-1.82	0.0347	53	0.916	0.965	1949	0.991
ZOWLP5	-4.23	2	-1.80	0.0357	54	0.916	0.964	1948	0.991
VKG1	-4.20	2	-1.79	0.0369	55	0.916	0.963	1947	0.99
SGE3	-4.20	2	-1.79	0.037	56	0.916	0.963	1946	0.99
DOQ19	-4.20	2	-1.79	0.0371	57	0.916	0.963	1945	0.99
IVXJO0	-4.14	2	-1.76	0.0396	58	0.916	0.96	1944	0.989
INOV10	-4.14	2	-1.75	0.0397	59	0.916	0.96	1943	0.989
IIR0	-4.13	2	-1.75	0.0401	60	0.916	0.96	1942	0.989
RZE5	-4.10	2	-1.74	0.0411	61	0.916	0.959	1941	0.989
QDCZM45	-4.10	2	-1.74	0.0413	62	0.916	0.959	1940	0.989
ETOBK6	-4.07	2	-1.72	0.0426	63	0.916	0.957	1939	0.988
TEAGL48	-4.07	2	-1.72	0.0429	64	0.916	0.957	1938	0.988
QLJCQ6	-4.06	2	-1.72	0.043	65	0.916	0.957	1937	0.988
PUQ51	-4.01	2	-1.69	0.0455	66	0.916	0.954	1936	0.987
WIKBZ39	-4.01	2	-1.69	0.0457	67	0.916	0.954	1935	0.987
UHMQ5	-4.01	2	-1.69	0.0457	68	0.916	0.954	1934	0.987
EQPUW254	-4.01	2	-1.69	0.0458	69	0.916	0.954	1933	0.987
TGSTA9	-4.00	2	-1.69	0.0459	70	0.916	0.954	1932	0.987
DCE5	-4.00	2	-1.69	0.0459	71	0.916	0.954	1931	0.987
DAL65	-4.00	2	-1.68	0.0463	72	0.916	0.954	1930	0.987
NMGB389	-3.99	2	-1.68	0.0467	73	0.916	0.953	1929	0.987
QVHNP15	-3.98	2	-1.68	0.0469	74	0.916	0.953	1928	0.987
PPDBK2	-3.98	2	-1.67	0.0472	75	0.916	0.953	1927	0.987
TAKT409	-3.97	2	-1.67	0.0476	76	0.916	0.952	1926	0.987
YGYRD21	-3.97	2	-1.67	0.0477	77	0.916	0.952	1925	0.987
KXKC7	-3.96	2	-1.66	0.0482	78	0.916	0.952	1924	0.987
HME8	-3.93	2	-1.65	0.0495	79	0.916	0.95	1923	0.987
GPD0	-3.92	2	-1.64	0.0502	80	0.916	0.95	1922	0.987
SHVOR67	-3.92	2	-1.64	0.0503	81	0.916	0.95	1921	0.987
QGFY128	-3.91	2	-1.64	0.0508	82	0.916	0.949	1920	0.987
FPH4	-3.90	2	-1.63	0.0513	83	0.916	0.949	1919	0.987
RKS40	-3.90	2	-1.63	0.0515	84	0.916	0.949	1918	0.987
SSEPL459	-3.89	2	-1.63	0.0521	85	0.916	0.948	1917	0.987
DRY8	-3.88	2	-1.62	0.0524	86	0.916	0.948	1916	0.987
AULR52	-3.88	2	-1.62	0.0525	87	0.916	0.947	1915	0.987
DFLON760	-3.87	2	-1.62	0.0527	88	0.916	0.947	1914	0.987
KPD286	-3.87	2	-1.62	0.0529	89	0.916	0.947	1913	0.987
SXW834	-3.87	2	-1.62	0.0529	90	0.916	0.947	1912	0.987
RDSGH29	-3.87	2	-1.62	0.0531	91	0.916	0.947	1911	0.987
FCM23	-3.86	2	-1.61	0.0532	92	0.916	0.947	1910	0.987
AVIR63	-3.86	2	-1.61	0.0533	93	0.916	0.947	1909	0.987
GUWZN3	-3.84	2	-1.60	0.0545	94	0.916	0.946	1908	0.987
KFO5	-3.84	2	-1.60	0.0548	95	0.916	0.945	1907	0.987
GLGA2	-3.82	2	-1.59	0.0558	96	0.916	0.944	1906	0.987
HVKTE192	-3.79	2	-1.58	0.0573	97	0.916	0.943	1905	0.987
SMSTX9	-3.79	2	-1.58	0.0576	98	0.916	0.942	1904	0.987
FGYT384	-3.77	2	-1.57	0.0586	99	0.916	0.941	1903	0.987
LIN4	-3.77	2	-1.56	0.0588	100	0.916	0.941	1902	0.987
DZR395	-3.76	2	-1.56	0.0591	101	0.916	0.941	1901	0.987
CSLEY4	-3.76	2	-1.56	0.0591	102	0.916	0.941	1900	0.987
EWC0	-3.75	2	-1.56	0.0597	103	0.916	0.94	1899	0.987
BKH56	-3.74	2	-1.55	0.0606	104	0.916	0.939	1898	0.987
XTL95	-3.74	2	-1.55	0.0608	105	0.916	0.939	1897	0.987
MJGW936	-3.73	2	-1.55	0.061	106	0.916	0.939	1896	0.987
FKNC3	-3.71	2	-1.54	0.0622	107	0.916	0.938	1895	0.987
DWGS3	-3.71	2	-1.53	0.0624	108	0.916	0.938	1894	0.987
FKDL1	-3.70	2	-1.53	0.0628	109	0.916	0.937	1893	0.987
UVEX53	-3.69	2	-1.52	0.0637	110	0.916	0.936	1892	0.987
EAQN08	-3.69	2	-1.52	0.0639	111	0.916	0.936	1891	0.987
FVFLI1	-3.68	2	-1.52	0.0642	112	0.916	0.936	1890	0.987
XEUV806	-3.66	2	-1.51	0.0658	113	0.916	0.934	1889	0.987
SZPTQ70	-3.65	2	-1.51	0.066	114	0.916	0.934	1888	0.987
ONE3	-3.65	2	-1.50	0.0662	115	0.916	0.934	1887	0.987
WIO4	-3.65	2	-1.50	0.0662	116	0.916	0.934	1886	0.987
KBPQ2	-3.65	2	-1.50	0.0664	117	0.916	0.934	1885	0.987
NFPZ56	-3.62	2	-1.49	0.068	118	0.916	0.932	1884	0.987
CHXQ708	-3.62	2	-1.49	0.0684	119	0.916	0.932	1883	0.987
PCQLX374	-3.62	2	-1.49	0.0685	120	0.916	0.931	1882	0.987
UNW0	-3.61	2	-1.48	0.0689	121	0.916	0.931	1881	0.987
QFI132	-3.60	2	-1.48	0.0695	122	0.916	0.93	1880	0.987
WUX1	-3.60	2	-1.48	0.0697	123	0.916	0.93	1879	0.987
DUG1	-3.60	2	-1.48	0.0698	124	0.916	0.93	1878	0.987
MIVUD0	-3.59	2	-1.47	0.0705	125	0.916	0.93	1877	0.987
PTP480	-3.58	2	-1.47	0.0708	126	0.916	0.929	1876	0.987
PMZ908	-3.57	2	-1.46	0.0715	127	0.916	0.929	1875	0.987
UTNAS643	-3.57	2	-1.46	0.0717	128	0.916	0.928	1874	0.987
CUE65	-3.55	2	-1.45	0.0731	129	0.916	0.927	1873	0.987
BSQTP516	-3.54	2	-1.45	0.0736	130	0.916	0.926	1872	0.987
