,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam
,normZ,neg_p,neg_fdr,pos_p,pos_fdr,p,p_log10,fdr,fdr_log10,normZ,neg_p,neg_fdr,pos_p,pos_fdr,p,p_log10,fdr,fdr_log10,normZ,neg_p,neg_fdr,pos_p,pos_fdr,p,p_log10,fdr,fdr_log10
gene,,,,,,,,,,,,,,,,,,,,,,,,,,,
QNKWY38,-0.05,0.482,0.968,0.518,0.981,0.482,0.31695296176115045,0.968,0.014124642691606345,-2.81,0.00248,0.916,0.998,0.998,0.00248,2.6055483191737836,0.916,0.0381045263321496,-0.56,0.288,0.925,0.712,0.984,0.288,0.5406075122407692,0.925,0.03385826726096737
JPLH1,-0.65,0.259,0.898,0.741,0.981,0.259,0.5867002359187482,0.898,0.04672366333269562,-2.72,0.00324,0.916,0.997,0.997,0.00324,2.489454989793388,0.916,0.0381045263321496,-0.89,0.186,0.925,0.814,0.984,0.186,0.7304870557820837,0.925,0.03385826726096737
UWIV54,0.37,0.644,0.987,0.356,0.981,0.356,0.44855000202712486,0.981,0.008330992620051497,-2.65,0.00402,0.916,0.996,0.997,0.00402,2.39577394691553,0.916,0.0381045263321496,0.55,0.708,0.986,0.292,0.984,0.292,0.5346171485515817,0.984,0.007004901568658489
VUW68,-0.7,0.243,0.897,0.757,0.981,0.243,0.6143937264016879,0.897,0.047207556955907906,-2.55,0.00546,0.916,0.995,0.996,0.00546,2.2628073572952627,0.916,0.0381045263321496,2.05,0.98,1.0,0.02,0.817,0.02,1.6989700043360187,0.817,0.08777794346758454
KHUBY36,-0.72,0.237,0.897,0.763,0.981,0.237,0.6252516539898961,0.897,0.047207556955907906,-2.51,0.00604,0.916,0.994,0.996,0.00604,2.2189630613788682,0.916,0.0381045263321496,-0.29,0.384,0.952,0.616,0.984,0.384,0.4156687756324692,0.952,0.021363051615525673
CDJHE675,-0.74,0.231,0.897,0.769,0.981,0.231,0.6363880201078557,0.897,0.047207556955907906,-2.44,0.00741,0.916,0.993,0.995,0.00741,2.130181792020672,0.916,0.0381045263321496,-0.66,0.256,0.925,0.744,0.984,0.256,0.5917600346881504,0.925,0.03385826726096737
RDTNV53,0.85,0.801,0.997,0.199,0.981,0.199,0.7011469235902933,0.981,0.008330992620051497,-2.43,0.0076,0.916,0.992,0.995,0.0076,2.1191864077192086,0.916,0.0381045263321496,-0.56,0.288,0.925,0.712,0.984,0.288,0.5406075122407692,0.925,0.03385826726096737
UJX3,2.38,0.991,0.999,0.00862,0.638,0.00862,2.0644927341752872,0.638,0.19517932127883766,-2.39,0.00838,0.916,0.992,0.995,0.00838,2.0767559813697236,0.916,0.0381045263321496,1.56,0.94,1.0,0.0596,0.925,0.0596,1.2247537402597635,0.925,0.03385826726096737
